"satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","salary","salesaccounting","saleshr","salesIT","salesmanagement","salesmarketing","salesproduct_mng","salesRandD","salessales","salessupport","Y_A","Y_0","Y_1"
0.45,0.48,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.298208754741296,0.298208754741296,0.19645930719459
0.4,0.46,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.602073614124666,0.602073614124666,0.30569323985692
0.1,0.8,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.09,0.89,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.84,0.74,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.126385196370597,0.126385196370597,0.0227218310000237
0.4,0.55,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.57,0.7,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.439550549937264,0.439550549937264,0.123514228374317
0.4,0.54,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.43,0.47,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.13,0.78,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.115539249164935,0.115539249164935,0.0361801440785723
0.44,0.55,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.38,0.55,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.39,0.54,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.1,0.92,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.37,0.46,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.11,0.94,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.1,0.81,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.38,0.54,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.602073614124666,0.602073614124666,0.30569323985692
0.85,1,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.421378053846666,0.421378053846666,0.0899859143987825
0.45,0.49,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0.285392059073153,0.441088298632597,0.285392059073153
0.09,0.87,2,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.791354030453205,0.791354030453205,0.566608825175717
0.43,0.56,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.39,0.56,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.617050871958479,0.617050871958479,0.445046499367227
0.45,0.54,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.38,0.49,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.298208754741296,0.298208754741296,0.19645930719459
0.79,0.59,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.782501864230273,0.782501864230273,0.128143699631279
0.84,0.85,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.493949687414251,0.493949687414251,0.0879599875692237
0.17,0.84,2,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0678942962428324,0.0678942962428324,0.0132136739136988
0.44,0.45,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.37,0.57,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.1,0.79,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.4,0.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.89,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.773571467153302,0.773571467153302,0.29295497904707
0.42,0.48,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.46,0.55,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.09,0.83,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.37,0.51,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.1,0.77,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.1,0.84,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.11,0.97,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.09,0.85,2,5,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0.665812174846262,0.87796798854824,0.665812174846262
0.43,0.52,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.298208754741296,0.298208754741296,0.19645930719459
0.11,0.84,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.748469001687101,0.748469001687101,0.311610564079737
0.37,0.57,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.602073614124666,0.602073614124666,0.30569323985692
0.4,0.46,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.602073614124666,0.602073614124666,0.30569323985692
0.14,0.62,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.1699790789103,0.1699790789103,0.0397935016248771
0.4,0.46,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.602073614124666,0.602073614124666,0.30569323985692
0.75,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.126385196370597,0.126385196370597,0.0227218310000237
0.46,0.49,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.11,0.92,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.38,0.49,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.7,0.89,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.112349672740944,0.112349672740944,0.0236490488160686
0.09,0.82,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.831031025313087,0.831031025313087,0.305318946422693
0.37,0.45,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.439317204524473,0.439317204524473,0.0660660769600283
0.1,0.83,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.38,0.57,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.9,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.831031025313087,0.831031025313087,0.305318946422693
0.44,0.51,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.36,0.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.602073614124666,0.602073614124666,0.30569323985692
0.31,0.84,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.169376135367638,0.169376135367638,0.0616878146848537
0.42,0.48,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.70855450588227,0.70855450588227,0.134105178933235
0.74,1,1,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.391328318659653,0.391328318659653,0.086651615409435
0.73,0.87,2,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.880103651797108,0.880103651797108,0.657570648455086
0.09,0.96,2,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.780885484900024,0.780885484900024,0.295362549212474
0.45,0.53,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.327197629170817,0.327197629170817,0.0862700806420287
0.11,0.8,2,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.880103651797108,0.880103651797108,0.657570648455086
0.37,0.47,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.345811649259548,0.345811649259548,0.143065290950598
0.41,0.46,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.345811649259548,0.345811649259548,0.143065290950598
0.76,0.92,1,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.348478181668372,0.348478181668372,0.0929781075962958
0.11,0.87,2,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.880103651797108,0.880103651797108,0.657570648455086
0.84,0.88,1,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0.401317166339721,0.401317166339721,0.0586036862933232
0.39,0.5,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.658495715067802,0.658495715067802,0.357632752548002
0.45,0.56,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.370442296546451,0.370442296546451,0.0710978442794809
0.37,0.52,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.658495715067802,0.658495715067802,0.357632752548002
0.4,0.52,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.370442296546451,0.370442296546451,0.0710978442794809
0.39,0.48,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.11,0.8,2,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0.861529335884314,0.861529335884314,0.646612444207024
0.83,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.831031025313087,0.831031025313087,0.305318946422693
0.11,0.92,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.39,0.5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.70855450588227,0.70855450588227,0.134105178933235
0.45,0.45,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.658495715067802,0.658495715067802,0.357632752548002
0.9,0.98,2,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.739003652256017,0.739003652256017,0.21483083282962
0.45,0.51,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.79,0.89,2,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.773571467153302,0.773571467153302,0.29295497904707
0.9,0.99,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.11,0.84,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.43,0.55,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.31,0.54,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0843669767747234,0.0843669767747234,0.0241078185141416
0.32,0.5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0770204528673897,0.0770204528673897,0.0181919692963707
0.45,0.57,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.81,0.99,1,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.457746647083458,0.457746647083458,0.209318209634987
0.41,0.46,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.311364474704252,0.311364474704252,0.0693255141062753
0.11,0.78,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.1,0.88,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.7,0.53,1,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.457746647083458,0.457746647083458,0.209318209634987
0.54,0.74,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.41,0.48,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.44,0.51,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.19645930719459,0.298208754741296,0.19645930719459
0.09,0.8,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.09,0.8,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.27,0.54,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0787696564543012,0.0787696564543012,0.0268835700608155
0.1,0.91,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.1,0.89,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.77,0.94,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.831031025313087,0.831031025313087,0.305318946422693
0.9,0.82,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.39,0.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.76,1,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.366733816203827,0.366733816203827,0.0828871328937669
0.1,0.93,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.87,0.9,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.38,0.5,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.439317204524473,0.439317204524473,0.0660660769600283
0.77,0.99,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.831031025313087,0.831031025313087,0.305318946422693
0.78,0.87,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.442847759083359,0.442847759083359,0.0856164959184803
0.44,0.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.38,0.52,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.439317204524473,0.439317204524473,0.0660660769600283
0.43,0.46,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.298208754741296,0.298208754741296,0.19645930719459
0.39,0.5,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0606304272539587,0.0606304272539587,0.0172685770309381
0.88,1,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.200193997565347,0.200193997565347,0.0659640415697045
0.45,0.46,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.343313720425329,0.343313720425329,0.0638248792313054
0.4,0.53,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.327197629170817,0.327197629170817,0.0862700806420287
0.36,0.51,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.327197629170817,0.327197629170817,0.0862700806420287
0.36,0.48,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.327197629170817,0.327197629170817,0.0862700806420287
0.9,0.98,2,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.780885484900024,0.780885484900024,0.295362549212474
0.43,0.53,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.634096216518452,0.634096216518452,0.202891086986665
0.89,0.87,2,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.76243849489254,0.76243849489254,0.406017331536073
0.1,0.84,2,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.791354030453205,0.791354030453205,0.566608825175717
0.37,0.5,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.441088298632597,0.441088298632597,0.285392059073153
0.37,0.51,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.345811649259548,0.345811649259548,0.143065290950598
0.87,0.9,2,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.780885484900024,0.780885484900024,0.295362549212474
0.4,0.56,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.617050871958479,0.617050871958479,0.445046499367227
0.37,0.46,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.261503260490461,0.261503260490461,0.186709782995074
0.44,0.54,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.653514994521885,0.653514994521885,0.333485668523929
0.78,0.98,2,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.739003652256017,0.739003652256017,0.21483083282962
0.42,0.47,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.370442296546451,0.370442296546451,0.0710978442794809
0.92,0.99,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.42,0.56,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.48,0.57,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.439209978955078,0.439209978955078,0.207232984414128
0.83,0.85,1,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0.561215573988,0.561215573988,0.0899474547630231
0.4,0.53,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.370442296546451,0.370442296546451,0.0710978442794809
0.43,0.45,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.658495715067802,0.658495715067802,0.357632752548002
0.43,0.53,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.658495715067802,0.658495715067802,0.357632752548002
0.1,0.97,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.1,0.87,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.37,0.46,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.38,0.53,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.4,0.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.89,0.86,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.45,0.46,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.37,0.48,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.46,0.49,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.87,0.91,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.456413657054636,0.456413657054636,0.0961278968037783
0.11,0.84,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.79,0.87,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.79,0.92,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.19,0.59,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0643773104328266,0.0643773104328266,0.0201068430290795
0.87,0.98,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.456413657054636,0.456413657054636,0.0961278968037783
0.6,0.92,1,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.457746647083458,0.457746647083458,0.209318209634987
0.45,0.53,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.30569323985692,0.602073614124666,0.30569323985692
0.38,0.56,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.298208754741296,0.298208754741296,0.19645930719459
0.09,0.96,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.11,0.9,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.81,0.95,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.748469001687101,0.748469001687101,0.311610564079737
0.74,0.89,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.831031025313087,0.831031025313087,0.305318946422693
0.09,0.78,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.1,0.98,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.27,0.56,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0498503307435645,0.0498503307435645,0.0131444312866633
0.83,0.92,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.38,0.47,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.4,0.56,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.641358252159443,0.641358252159443,0.349095389423756
0.11,0.83,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.881921998144478,0.881921998144478,0.582649702790122
0.82,0.91,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.748469001687101,0.748469001687101,0.311610564079737
0.36,0.48,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.602073614124666,0.602073614124666,0.30569323985692
0.4,0.46,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.70855450588227,0.70855450588227,0.134105178933235
0.87,0.84,2,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.780885484900024,0.780885484900024,0.295362549212474
0.41,0.49,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.634096216518452,0.634096216518452,0.202891086986665
0.37,0.46,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0.357632752548002,0.658495715067802,0.357632752548002
0.11,0.81,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
